"From ETSI EN 302 307-1 V1.4.1 (2014-11) [DVB-S2 Standard, part 1)",,,,,,,,,Playing: Link-specific outputs versus MODCOD scheme,,,,
Combined Scheme,Modulation,Coding,>> As number,"Spectral Efficiency (bits per Symb, where symb equiv to Hz)",Ideal Es/No (dB),Deduced Eb/No,Manuf. implementation losses (based on SAIT figures),"Max payload data rate (theoretical, 0 overheads, over all MODCODs)","Link Margin (dB), assuming 20.78dBW EIRP","Deduced EIRP requirement (dBW), assuming a Desired 3dB margin",,TX POWER LOOKUP W,dBW
QPSK 1/4,QPSK,1/4,0.25,0.490243,-2.35,0.75,0.3,14.71,11.49,12.29,,3,4.8
QPSK 1/3,QPSK,1/3,0.3333333333,0.656448,-1.24,0.59,0.3,19.69,11.65,12.13,,3,4.8
QPSK 2/5,QPSK,2/5,0.4,0.789412,-0.30,0.73,0.3,23.68,11.51,12.27,,3,4.8
QPSK 1/2,QPSK,1/2,0.5,0.988858,1.00,1.05,0.3,29.67,11.19,12.59,,3,4.8
QPSK 3/5,QPSK,3/5,0.6,1.188304,2.23,1.48,0.3,35.65,10.76,13.02,,3,4.8
QPSK 2/3,QPSK,2/3,0.6666666667,1.322253,3.10,1.89,0.3,39.67,10.35,13.43,,3,4.8
QPSK 3/4,QPSK,3/4,0.75,1.487473,4.03,2.31,0.3,44.62,9.93,13.85,,3,4.8
QPSK 4/5,QPSK,4/5,0.8,1.587196,4.68,2.67,0.3,47.62,9.56,14.22,,3,4.8
QPSK 5/6,QPSK,5/6,0.8333333333,1.654663,5.18,2.99,0.3,49.64,9.24,14.54,,3,4.8
QPSK 8/9,QPSK,8/9,0.8888888889,1.766451,6.20,3.73,0.3,52.99,8.51,15.27,,3,4.8
QPSK 9/10,QPSK,9/10,0.9,1.788612,6.42,3.89,0.3,53.66,8.34,15.44,,3,4.8
8PSK 3/5,8PSK,3/5,0.6,1.779991,5.50,3.00,1.2,53.40,9.24,14.54,,3,4.8
8PSK 2/3,8PSK,2/3,0.6666666667,1.980636,6.62,3.65,1.2,59.42,8.58,15.19,,3,4.8
8PSK 3/4,8PSK,3/4,0.75,2.228124,7.91,4.43,1.2,66.84,7.81,15.97,,3,4.8
8PSK 5/6,8PSK,5/6,0.8333333333,2.478562,9.35,5.41,1.2,74.36,6.83,16.95,,3,4.8
8PSK 8/9,8PSK,8/9,0.8888888889,2.646012,10.69,6.46,1.2,79.38,5.77,18.01,,3,4.8
8PSK 9/10,8PSK,9/10,0.9,2.679207,10.98,6.70,1.2,80.38,5.54,18.24,,3,4.8
16APSK 2/3,16APSK,2/3,0.6666666667,2.637201,8.97,4.76,1.9,79.12,7.48,16.30,,2,3.0
16APSK 3/4,16APSK,3/4,0.75,2.966728,10.21,5.49,1.9,89.00,6.75,17.03,,2,3.0
16APSK 4/5,16APSK,4/5,0.8,3.165623,11.03,6.03,1.9,94.97,6.21,17.57,,2,3.0
16APSK 5/6,16APSK,5/6,0.8333333333,3.300184,11.61,6.42,1.9,99.01,5.81,17.97,,2,3.0
16APSK 8/9,16APSK,8/9,0.8888888889,3.523143,12.89,7.42,1.9,105.69,4.82,18.96,,2,3.0
16APSK 9/10,16APSK,9/10,0.9,3.567342,13.13,7.61,1.9,107.02,4.63,19.15,,2,3.0
32APSK 3/4,32APSK,3/4,0.75,3.703295,12.73,7.04,2,111.1,5.19,18.59,Guessed implementation loss,2,3.0
32APSK 4/5,32APSK,4/5,0.8,3.951571,13.64,7.67,2,118.5,4.56,19.22,,2,3.0
32APSK 5/6,32APSK,5/6,0.8333333333,4.119540,14.28,8.13,2,123.6,4.10,19.67,,2,3.0
32APSK 8/9,32APSK,8/9,0.8888888889,4.397854,15.69,9.26,2,131.9,2.98,20.80,,2,3.0
32APSK 9/10,32APSK,9/10,0.9,4.453027,16.05,9.56,2,133.6,2.67,21.11,,2,3.0
